total_fat,vitamin_a,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,protein,carbohydrate,fiber,sugars,calories
26.0,0.0,1.2,0.08,1.9,0.0,6.9,32.0,28.6,10.2,0.0,476
1.1,0.0,0.0,0.103,0.0,0.0,0.0,12.68,72.83,3.9,0.0,360
2.0,5253.0,0.0,0.136,11.3,0.0,1.79,4.27,11.71,9.9,0.0,69
13.0,5900.0,0.0,2.69,32.4,0.0,7.48,10.63,60.73,40.3,1.71,315
0.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,6.25,50
9.0,0.0,0.0,0.203,0.0,0.0,0.55,2.49,26.59,2.7,1.38,197
22.0,5.0,0.0,0.089,0.0,0.0,1.23,5.29,41.05,2.4,4.76,385
3.7,0.0,4.91,0.507,0.0,0.0,0.2,21.55,0.0,0.0,0.0,125
100.0,0.0,0.0,0.0,0.0,0.0,14.84,0.0,0.0,0.0,0.0,884
0.1,1947.0,0.0,0.0,28.0,0.0,0.0,1.03,3.28,0.0,0.0,15
2.1,1962.0,0.0,0.46,86.5,0.0,5.55,11.3,63.7,27.8,35.9,319
2.1,42.0,0.19,0.054,0.1,0.0,0.0,12.3,78.6,2.8,0.0,391
0.3,35.0,0.0,0.065,15.3,0.0,0.87,1.52,13.02,5.3,7.7,55
0.2,253.0,0.0,0.042,31.0,0.0,0.13,0.5,10.1,0.2,9.9,43
6.8,180.0,0.0,0.065,29.0,0.0,0.0,12.95,11.05,4.2,0.0,147
8.1,42.0,0.0,0.07,0.0,0.0,0.6,12.5,6.9,0.0,1.6,151
8.3,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.0,0.0,0.0,161
2.4,0.0,6.31,0.37,0.0,0.0,0.2,22.96,0.0,0.0,0.0,120
0.2,247.0,0.0,0.079,59.1,0.0,0.15,0.91,12.54,2.2,8.5,49
23.0,0.0,0.0,0.363,0.0,0.0,0.0,6.15,64.43,5.8,0.0,474
6.7,120.0,1.7,0.543,0.0,558.0,2.02,19.66,0.0,0.0,0.0,144
1.0,2045.0,0.0,0.116,96.0,0.0,0.0,2.79,6.91,0.0,0.0,44
0.3,5717.0,0.0,0.105,24.0,0.0,2.26,1.7,4.7,4.0,0.7,23
0.2,68.0,0.0,0.81,8.0,0.0,0.5,2.7,25.61,1.5,17.16,115
0.1,0.0,0.0,0.076,7.7,0.0,0.12,0.82,4.51,1.7,1.66,19
12.0,943.0,4.26,0.268,0.0,530.0,0.22,16.36,0.0,0.0,0.0,177
17.0,0.0,0.82,0.143,0.0,23.0,0.62,12.23,3.81,0.0,1.21,223
0.1,0.0,0.0,0.004,0.0,0.0,0.0,0.0,93.55,0.2,70.0,375
100.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,884
3.4,0.0,0.0,0.1,0.0,0.0,0.0,88.32,0.0,0.0,0.0,335
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.79,0.0,76.77,283
6.7,100.0,3.4,0.423,0.0,0.0,0.0,20.53,0.0,0.0,0.0,148
1.5,40.0,0.9,0.24,1.0,0.0,0.0,14.48,0.0,0.0,0.0,76
22.0,0.0,1.05,0.18,1.0,40.0,0.0,12.07,7.53,0.0,0.0,282
0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.19,88.69,0.9,3.35,358
1.0,624.0,0.0,0.11,228.3,0.0,0.73,2.55,14.32,5.4,8.92,68
25.0,52.0,0.0,0.89,17.1,0.0,1.07,18.07,41.35,11.8,0.67,392
34.0,0.0,0.0,0.153,0.0,0.0,4.1,15.5,47.4,4.1,42.22,522
3.6,4.0,0.0,0.074,0.2,0.0,0.37,9.4,53.1,6.4,4.23,284
100.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,884
7.3,7.0,0.0,0.0,0.0,0.0,0.0,1.78,81.64,2.0,75.0,394
9.0,0.0,1.5,0.2,0.0,0.0,1.73,21.0,8.0,4.6,1.25,197
1.6,15.0,2.24,0.643,0.0,0.0,0.23,22.83,0.0,0.0,0.0,112
0.4,3024.0,0.0,0.18,70.0,0.0,2.01,2.86,4.67,3.2,1.32,27
0.3,5202.0,0.0,0.159,39.0,0.0,1.0,5.81,5.11,0.3,0.49,35
18.0,254.0,0.3,0.069,0.2,0.0,0.0,7.1,43.7,1.2,0.0,360
0.4,4.0,0.0,0.133,4.4,0.0,0.15,1.42,27.57,4.2,23.35,107
9.5,0.0,0.0,0.073,0.0,0.0,1.01,12.0,68.4,3.0,1.26,412
1.4,123.0,0.37,0.0,0.0,0.0,0.0,2.06,9.05,0.0,7.41,58
11.0,627.0,2.0,0.819,15.4,68.0,0.42,6.47,72.05,0.4,45.97,413
3.1,0.0,0.0,0.126,0.0,0.0,0.42,8.7,47.5,6.5,0.53,250
1.5,0.0,0.0,0.0,0.0,0.0,0.0,22.95,0.0,0.0,0.0,111
0.0,313.0,0.0,0.0,3.8,0.0,0.0,0.0,9.38,0.0,6.25,31
2.4,0.0,5.01,0.517,0.0,0.0,0.2,21.99,0.0,0.0,0.0,116
3.6,0.0,0.0,0.0,1.6,0.0,0.0,18.43,0.21,0.0,0.0,106
0.0,3.0,0.0,0.218,4.1,0.0,0.12,0.61,17.45,1.0,16.45,71
15.0,188.0,0.88,0.0,0.4,0.0,0.0,11.82,20.08,1.6,3.97,257
1.2,40.0,0.0,0.574,0.0,0.0,0.12,51.46,33.92,17.5,16.42,327
6.6,231.0,0.11,0.064,0.0,21.0,0.29,10.5,52.6,2.5,1.94,315
0.7,180.0,0.6,0.4,0.0,0.0,0.0,18.5,0.0,0.0,0.0,85
4.2,398.0,5.39,0.402,0.0,0.0,0.0,20.04,0.0,0.0,0.0,124
15.0,135.0,0.0,0.47,21.0,0.0,0.0,15.8,52.29,39.8,0.0,345
0.1,0.0,0.0,0.239,11.4,0.0,0.0,2.57,12.44,2.5,0.0,58
0.5,340.0,0.0,0.357,82.7,0.0,0.69,1.66,5.35,3.4,1.95,27
